player.name,season,player.team.code,player.team.tvCodes,player.team.name,minutesPlayed,Height,offensiveReboundsPercentage,defensiveReboundsPercentage,assistsRatio,turnoversRatio,blocks,steals,pointsScored,usageProxy,pir,freeThrowsRate,freeThrowsPercentage,fieldGoalsAttempted,twoPointersPercentage,threePointersPercentage,3FGA_Pct,Corner_3FGA_Pct,0_1m_FGA_Pct,1_3.5m_FGA_Pct,3.5m_3pt_FGA_Pct
"HILLIARD, DARRUN",2020,CSK,CSK,CSKA Moscow,19.409009009009008,198.0,0.02,0.10800000000000001,0.10300000000000001,0.098,1.8,6.0,80.8,0.5564426290382474,54.3,0.19,0.857,73.8,0.441,0.327,50.85,24.0,3.05,31.19,14.92
"BENTIL, BENJAMIN",2020,PAN,PAO,Panathinaikos AKTOR Athens,15.870967741935484,206.0,0.066,0.142,0.121,0.152,3.1,6.3,83.9,0.45365853658536587,81.6,0.35700000000000004,0.74,62.7,0.531,0.364,31.43,40.91,10.0,54.29,4.29
"SMITS, ROLANDS",2020,BAR,FCB,FC Barcelona,15.926829268292684,206.99999999999997,0.086,0.162,0.10300000000000001,0.168,3.4,6.5,96.6,0.3578866768759571,105.2,0.287,0.767,64.7,0.657,0.396,32.0,35.42,22.67,43.33,2.0
"KUZMIC, OGNJEN",2020,RED,CZV,Crvena Zvezda Meridianbet Belgrade,13.91875,213.0,0.156,0.204,0.061,0.122,6.9,7.6,93.8,0.29456668163448585,147.9,0.433,0.6409999999999999,68.6,0.544,0.0,0.0,0.0,15.56,82.22,2.22
"GARUBA, USMAN",2020,MAD,RMB,Real Madrid,16.28846153846154,202.99999999999997,0.094,0.20800000000000002,0.139,0.215,12.9,11.0,73.1,0.33152302243211335,113.7,0.311,0.595,56.9,0.628,0.268,34.45,17.07,10.92,50.42,4.2
"DATOME, LUIGI",2020,MIL,AXM,EA7 Emporio Armani Milan,16.49009009009009,202.99999999999997,0.040999999999999995,0.165,0.115,0.076,1.2,2.8,103.9,0.41236888111888115,94.8,0.21,0.897,74.0,0.45799999999999996,0.511,48.39,28.89,2.15,14.52,34.95
"ZAITCEV, VIACHESLAV",2020,KHI,KHI,BC Khimki,19.473529411764705,190.0,0.022000000000000002,0.131,0.27699999999999997,0.187,4.7,15.0,58.5,0.4518954840658511,73.2,0.257,0.8109999999999999,48.199999999999996,0.51,0.325,27.78,12.5,12.5,43.06,16.67
"BENDER, DRAGAN",2020,TEL,MTA,Maccabi Rapyd Tel Aviv,19.123039215686273,216.0,0.049,0.193,0.099,0.147,7.1,6.0,89.4,0.38696777831893575,90.2,0.265,0.7559999999999999,67.6,0.605,0.345,49.41,11.9,10.59,35.88,4.12
"JOKUBAITIS, ROKAS",2020,ZAL,ZAL,Zalgiris Kaunas,20.92096774193548,193.0,0.027000000000000003,0.08,0.239,0.147,0.0,5.2,66.0,0.5018888289260659,64.8,0.22399999999999998,0.7559999999999999,56.0,0.478,0.38799999999999996,26.78,42.86,5.46,47.54,20.22
"DRAGIC, ZORAN",2020,BAS,TDS,Baskonia Vitoria-Gasteiz,17.97020202020202,196.0,0.043,0.063,0.091,0.11800000000000001,0.0,5.8,85.4,0.5564767713105309,68.7,0.40299999999999997,0.787,67.1,0.511,0.284,39.82,9.09,7.69,50.68,1.81
"DOBRIC, OGNJEN",2020,RED,CZV,Crvena Zvezda Meridianbet Belgrade,18.619791666666668,200.0,0.031,0.106,0.087,0.12300000000000001,0.4,10.1,95.5,0.46187412587412585,81.0,0.249,0.857,71.2,0.39799999999999996,0.456,57.87,17.54,4.57,27.92,9.64
"JEAN-CHARLES, LIVIO",2020,OLY,OLY,Olympiacos Piraeus,17.529885057471265,204.0,0.10099999999999999,0.133,0.076,0.183,9.7,9.2,93.6,0.3879089895744541,104.3,0.17800000000000002,0.875,68.7,0.667,0.273,24.44,54.55,19.26,48.15,8.15
"WEILER-BABB, NICK",2020,MUN,BAY,FC Bayern Munich,23.606565656565657,197.0,0.046,0.126,0.22699999999999998,0.12300000000000001,2.5,12.6,63.8,0.41937485291286025,71.8,0.305,0.807,57.3,0.355,0.34,50.27,21.28,2.14,27.81,19.79
"CARROLL, JAYCEE",2020,MAD,RMB,Real Madrid,14.875806451612902,188.0,0.019,0.068,0.063,0.09699999999999999,0.0,1.9,109.0,0.5781199175973111,82.5,0.172,0.9440000000000001,78.0,0.633,0.40299999999999997,56.94,11.76,0.0,28.71,14.35
"JANKUNAS, PAULIUS",2020,ZAL,ZAL,Zalgiris Kaunas,15.883333333333333,204.99999999999997,0.083,0.273,0.196,0.15,2.3,9.8,75.4,0.3210912906610703,139.8,0.479,0.9109999999999999,54.099999999999994,0.508,0.276,30.85,34.48,5.32,51.06,12.77
"BOLOMBOY, JOEL",2020,CSK,CSK,CSKA Moscow,16.925333333333334,204.99999999999997,0.113,0.147,0.059000000000000004,0.14,8.9,11.1,99.7,0.31904836930833463,133.7,0.376,0.7709999999999999,68.7,0.623,0.25,17.2,37.5,36.56,32.26,13.98
"SANLI, SERTAC",2020,IST,EFS,Anadolu Efes Istanbul,14.21813725490196,212.0,0.066,0.121,0.091,0.083,7.1,5.4,110.6,0.49936217893466645,103.1,0.382,0.815,70.69999999999999,0.6609999999999999,0.349,25.29,2.33,17.65,40.0,17.06
"BAKO, ISMAEL",2020,ASV,ASV,LDLC ASVEL Villeurbanne,14.375308641975309,208.0,0.12,0.19399999999999998,0.083,0.145,14.5,9.7,104.5,0.3756441085537616,138.4,0.544,0.878,62.3,0.6,0.0,0.0,0.0,48.89,38.89,12.22
"PLEISS, TIBOR",2020,IST,EFS,Anadolu Efes Istanbul,12.033333333333331,221.0,0.09300000000000001,0.179,0.076,0.115,4.5,3.2,103.9,0.5401662049861496,114.1,0.235,0.889,73.3,0.602,0.41200000000000003,14.78,5.88,10.43,55.65,19.13
"JONES, CHRIS",2020,TEL,MTA,Maccabi Rapyd Tel Aviv,17.49313725490196,189.0,0.02,0.106,0.267,0.132,0.6,8.2,67.0,0.6002353864260495,71.5,0.139,0.75,56.5,0.5379999999999999,0.36200000000000004,34.33,5.8,1.99,37.81,25.87
"DIOT, ANTOINE",2020,ASV,ASV,LDLC ASVEL Villeurbanne,18.737777777777776,191.0,0.018000000000000002,0.114,0.35200000000000004,0.17,0.4,7.7,68.9,0.45896584440227706,87.8,0.147,0.706,44.9,0.556,0.525,68.97,10.0,2.59,15.52,12.93
"LO, MAODO",2020,BER,BER,ALBA Berlin,21.56851851851852,192.0,0.013999999999999999,0.06,0.225,0.152,0.0,4.1,69.8,0.6305486391345411,55.9,0.21,0.8859999999999999,57.0,0.519,0.34600000000000003,49.52,7.69,5.24,36.67,8.57
"BARON, BILLY",2020,DYR,ZEN,Zenit St Petersburg,18.664529914529915,188.0,0.013000000000000001,0.086,0.162,0.092,0.2,3.5,93.3,0.5518488838008014,75.6,0.188,0.865,68.9,0.45299999999999996,0.44799999999999995,65.58,8.84,1.45,20.29,12.68
"HERMANNSSON, MARTIN",2020,PAM,VBC,Valencia Basket,17.71206896551724,192.0,0.027999999999999997,0.078,0.317,0.12,0.3,4.4,63.0,0.6153995911612967,71.6,0.35100000000000003,0.87,48.8,0.45799999999999996,0.38299999999999995,30.52,10.64,14.29,37.66,17.53
