player.name,season,player.team.code,gamesPlayed,minutesPerGame,pointsPerGame,reboundsPerGame,assistsPerGame,stealsPerGame,blocksPerGame,turnoversPerGame,pirPerGame,twoPointersPercentage,threePointersPercentage,freeThrowsPercentage
"KALINIC, NIKOLA",2020,PAM,34.0,26.65882352941176,10.4,3.4,3.2,0.9,0.4,2.0,12.3,60.5,33.3,78.9
"PETERS, ALEC",2020,BAS,33.0,23.496464646464645,11.5,3.9,1.6,0.5,0.2,0.8,12.5,56.2,44.7,91.5
"GUDAITIS, ARTURAS",2020,DYR,31.0,20.09086021505377,9.7,4.0,0.7,0.4,0.6,0.9,12.8,60.1,0.0,76.6
"GIEDRAITIS, ROKAS",2020,BAS,34.0,28.840196078431376,12.7,3.0,1.5,1.1,0.1,1.1,12.9,54.7,40.5,82.4
"SLOUKAS, KOSTAS",2020,OLY,34.0,27.728431372549014,11.0,2.4,6.0,0.8,0.0,3.0,13.4,41.4,40.4,92.2
"THOMAS, WILL",2020,DYR,39.0,26.3965811965812,9.3,4.9,1.4,0.7,0.2,1.0,13.4,60.3,41.9,89.7
"BALDWIN IV, WADE",2020,MUN,39.0,27.291880341880344,15.3,3.0,4.0,1.1,0.3,2.8,13.4,48.8,28.5,76.1
"PAPAGIANNIS, GEORGIOS",2020,PAN,32.0,21.8828125,8.8,5.4,1.0,0.3,1.6,0.9,13.6,67.4,12.5,66.7
"WILBEKIN, SCOTTIE",2020,TEL,34.0,27.051470588235293,13.8,2.5,3.9,1.1,0.0,2.4,13.6,49.6,32.8,89.1
"DUBLJEVIC, BOJAN",2020,PAM,29.0,22.448850574712644,9.8,5.8,2.4,0.9,0.2,2.0,13.6,52.4,33.3,79.7
"GRIGONIS, MARIUS",2020,ZAL,34.0,27.633333333333333,13.4,2.1,3.3,0.8,0.1,2.3,13.7,50.6,45.6,94.4
"HIGGINS, CORY",2020,BAR,39.0,26.596581196581194,13.1,2.2,2.4,1.1,0.3,1.8,13.8,50.2,37.1,93.4
"DAVIES, BRANDON",2020,BAR,35.0,21.39333333333333,12.0,4.5,1.5,0.7,0.4,2.1,13.9,56.5,42.9,75.4
"SIKMA, LUKE",2020,BER,31.0,24.94032258064516,9.1,5.7,3.8,0.8,0.3,3.0,14.0,61.9,33.3,77.9
"PONITKA, MATEUSZ",2020,DYR,34.0,25.96764705882353,8.4,5.2,3.2,1.0,0.1,1.8,14.1,59.6,30.6,78.5
"FALL, MOUSTAPHA",2020,ASV,31.0,21.995698924731183,8.8,5.5,1.8,0.4,0.9,1.6,14.1,70.1,0.0,61.7
"CLYBURN, WILL",2020,CSK,31.0,26.266129032258064,14.0,3.8,1.5,0.8,0.2,1.6,14.3,52.0,36.4,79.6
"PANGOS, KEVIN",2020,DYR,39.0,28.952564102564104,13.5,2.0,6.7,0.7,0.0,2.9,14.8,52.2,39.0,84.5
"VEZENKOV, SASHA",2020,OLY,31.0,23.591397849462368,11.5,5.4,1.1,0.7,0.5,0.5,14.8,50.0,43.0,88.7
"NEDOVIC, NEMANJA",2020,PAN,25.0,26.093333333333334,16.0,1.9,3.7,0.7,0.2,1.9,14.9,51.2,37.0,83.5
"SHIELDS, SHAVON",2020,MIL,36.0,26.772685185185185,13.8,4.0,1.4,1.1,0.2,1.3,15.0,55.5,43.2,83.8
"REYNOLDS, JALEN",2020,MUN,39.0,21.105982905982906,13.6,5.8,1.1,1.1,0.5,2.0,15.5,59.8,50.0,87.2
"HENRY, PIERRIA",2020,BAS,34.0,26.79656862745098,10.5,3.2,7.3,1.7,0.1,2.9,16.0,51.0,32.9,81.4
"MICKEY, JORDAN",2020,KHI,28.0,28.87142857142857,15.6,5.8,0.9,1.1,1.5,2.0,16.5,59.0,23.9,77.7
"POLONARA, ACHILLE",2020,BAS,33.0,29.788888888888888,12.2,6.6,1.9,1.2,0.9,0.9,16.5,57.2,44.3,60.3
"LOYD, JORDAN",2020,RED,29.0,27.34942528735632,17.3,3.6,3.2,1.2,0.2,2.3,16.5,51.9,31.1,90.6
"LARKIN, SHANE",2020,IST,35.0,28.642857142857142,15.1,2.3,4.1,1.2,0.1,2.1,17.0,51.4,39.2,86.2
"MICIC, VASILIJE",2020,IST,40.0,29.992083333333333,16.7,2.6,4.9,1.2,0.0,3.1,17.5,56.3,38.9,86.5
"LUCIC, VLADIMIR",2020,MUN,31.0,31.144086021505377,13.6,4.8,1.4,1.1,0.1,1.2,17.8,58.7,44.1,86.4
"VESELY, JAN",2020,ULK,31.0,28.13978494623656,13.1,5.3,2.7,0.9,0.6,1.4,18.0,67.6,0.0,76.6
"TAVARES, WALTER",2020,MAD,36.0,26.022685185185185,11.4,8.0,1.1,1.0,1.8,1.9,18.1,65.1,0.0,71.6
"DE COLO, NANDO",2020,ULK,32.0,27.5078125,15.8,3.2,3.9,1.4,0.0,3.0,18.8,58.5,40.3,93.6
"MIROTIC, NIKOLA",2020,BAR,33.0,25.86060606060606,15.6,5.9,1.0,1.2,0.5,1.6,19.5,59.3,41.3,84.8
"SHVED, ALEXEY",2020,KHI,23.0,32.53913043478261,19.8,3.7,7.7,1.3,0.4,4.3,19.6,45.5,33.3,89.9
"JAMES, MIKE",2020,CSK,27.0,31.180864197530862,19.3,3.1,5.7,1.0,0.1,2.9,19.7,51.1,35.4,81.4
"GRANT, JERIAN",2021,MIL,26.0,12.396153846153847,2.8,0.7,0.7,0.3,0.1,0.6,1.6,38.5,24.3,88.9
"MARINKOVIC, VANJA",2021,BAS,26.0,13.33974358974359,3.4,0.9,0.6,0.2,0.0,0.2,1.7,39.1,32.9,100.0
"MATTISSECK, JONAS",2021,BER,26.0,13.727564102564104,2.4,1.3,0.5,0.5,0.0,0.3,1.8,53.3,34.1,83.3
"DELOW, MALTE",2021,BER,30.0,14.224444444444446,2.9,1.9,0.6,0.4,0.0,0.4,1.9,38.8,40.6,84.6
"WEBSTER, TAI",2021,ZAL,21.0,12.55873015873016,4.0,0.9,1.6,0.3,0.1,1.1,2.0,39.3,22.2,73.9
"BRANTLEY, JARRELL",2021,UNK,23.0,12.979710144927536,3.3,1.6,0.5,0.9,0.1,0.6,2.0,39.7,14.3,68.4
"TAYLOR, JEFFERY",2021,MAD,23.0,13.07536231884058,3.3,1.2,0.7,0.3,0.1,0.6,2.1,57.1,40.5,75.0
"LAZIC, BRANKO",2021,RED,25.0,16.227333333333334,3.7,1.0,0.4,0.3,0.1,0.5,2.2,45.5,34.0,86.4
"STRAZEL, MATTHEW",2021,ASV,30.0,15.276111111111112,3.4,0.7,1.9,0.3,0.0,1.3,2.3,28.0,32.7,82.6
